date,Stockholm,Uppsala,Sörmland,Östergötland,Jönköping,Kronoberg,Kalmar,Gotland,Blekinge,Skåne,Halland,Västra Götaland,Värmland,Örebro,Västmanland,Dalarna,Gävleborg,Västernorrland,Jämtland,Västerbotten,Norrbotten,compartment
2020-02-04,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-05,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-06,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-07,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-08,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-09,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-15,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-16,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-17,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-20,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-22,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-24,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-25,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-27,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-28,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-02-29,4,2,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-03-01,4,2,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-03-02,5,2,NA,NA,2,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-03-03,15,2,NA,NA,2,NA,NA,NA,NA,2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,Icum
2020-03-04,36,2,NA,NA,2,NA,NA,NA,NA,9,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA,Icum
2020-03-05,58,4,NA,NA,2,NA,NA,NA,NA,9,NA,13,NA,1,NA,NA,NA,NA,NA,NA,NA,Icum
2020-03-06,94,5,NA,NA,2,NA,NA,NA,NA,17,NA,14,11,1,NA,NA,2,NA,NA,NA,NA,Icum
2020-03-07,115,6,NA,NA,2,NA,NA,NA,NA,22,NA,19,11,2,NA,NA,2,NA,NA,NA,NA,Icum
2020-03-08,144,7,NA,NA,4,NA,NA,NA,NA,22,1,30,11,4,NA,NA,2,NA,NA,NA,NA,Icum
2020-03-09,208,7,1,NA,10,NA,NA,NA,NA,25,5,45,18,4,NA,NA,2,NA,NA,NA,1,Icum
2020-03-10,234,11,1,NA,10,1,1,NA,1,59,6,58,21,4,NA,NA,2,6,NA,8,1,Icum
2020-03-11,266,15,7,NA,26,8,3,2,7,96,22,115,23,4,NA,1,3,6,3,8,5,Icum
2020-03-12,308,26,10,1,33,10,5,2,9,128,31,134,27,7,NA,4,5,9,8,9,5,Icum
2020-03-13,339,36,16,11,37,13,5,2,9,170,40,153,30,9,5,5,6,11,11,9,6,Icum
2020-03-14,357,40,17,18,37,14,7,2,9,195,40,158,31,9,5,5,7,11,14,12,6,Icum
2020-03-15,374,40,21,27,41,15,7,2,10,199,42,176,32,9,5,5,7,11,21,13,6,Icum
2020-03-16,408,42,33,35,43,15,7,2,10,202,43,182,34,9,12,5,9,12,22,15,6,Icum
2020-03-17,443,47,38,48,44,16,7,3,11,208,46,195,35,25,18,8,13,13,22,18,7,Icum
2020-03-18,501,64,38,76,46,17,8,4,12,216,48,205,36,28,18,10,15,14,26,21,7,Icum
2020-03-19,567,69,43,104,48,18,9,5,12,218,50,219,36,37,19,12,15,14,27,23,8,Icum
2020-03-20,651,70,47,126,51,18,10,5,12,223,55,242,38,42,21,17,20,14,30,28,13,Icum
2020-03-21,722,72,53,138,55,18,11,5,12,228,58,250,39,42,21,17,24,14,46,28,16,Icum
2020-03-22,781,77,64,151,56,18,12,5,12,231,59,254,40,42,21,22,24,14,55,29,20,Icum
2020-03-23,880,85,66,169,58,18,15,5,12,238,63,263,42,48,24,31,27,16,55,29,25,Icum
2020-03-24,985,96,80,199,63,20,16,5,12,243,63,273,45,59,28,40,32,18,59,32,31,Icum
2020-03-25,1139,111,117,210,70,21,18,6,15,256,70,292,45,67,31,53,39,20,61,36,36,Icum
2020-03-26,1271,123,133,239,79,23,24,10,15,263,79,312,45,73,36,61,44,23,68,39,39,Icum
2020-03-27,1447,143,159,272,94,27,29,11,17,272,82,330,46,79,47,76,53,25,71,41,43,Icum
2020-03-28,1594,150,167,313,104,29,30,11,17,274,88,355,49,87,50,82,65,27,79,46,47,Icum
2020-03-29,1743,161,171,353,112,33,31,11,21,277,90,370,50,90,50,92,76,36,81,47,49,Icum
2020-03-30,1915,182,231,380,127,34,34,11,21,282,95,397,51,107,73,101,86,42,83,54,54,Icum
2020-03-31,2123,197,280,427,144,39,36,12,22,289,102,426,51,118,83,124,100,55,84,62,60,Icum
2020-04-01,2328,222,329,490,157,40,41,12,27,297,106,455,53,123,94,143,130,57,84,67,65,Icum
2020-04-02,2544,250,363,560,189,47,46,13,30,305,115,502,53,151,112,149,147,58,88,79,73,Icum
2020-04-03,2789,288,422,588,218,49,48,14,31,329,128,550,54,171,139,169,163,61,90,96,79,Icum
2020-04-04,2918,299,439,645,233,52,49,14,35,341,130,580,55,174,153,187,175,67,92,113,82,Icum
2020-04-05,3090,308,466,686,245,54,52,14,36,347,133,610,56,174,160,194,182,69,92,121,84,Icum
2020-04-06,3221,339,484,725,255,57,58,14,36,353,143,663,58,186,178,210,194,73,96,125,94,Icum
2020-04-07,3465,376,526,782,278,71,62,14,37,377,156,727,65,259,224,238,210,83,102,138,111,Icum
2020-04-08,3736,405,559,838,296,78,64,15,39,392,165,795,66,296,247,266,227,88,110,150,123,Icum
2020-04-09,3976,434,597,892,317,83,65,16,40,403,177,911,70,306,272,296,245,92,118,162,128,Icum
2020-04-10,4124,438,638,923,336,87,66,16,41,426,181,980,73,313,299,313,263,100,126,177,134,Icum
2020-04-11,4324,453,660,950,341,97,69,16,41,432,183,1012,75,326,332,322,273,100,128,179,136,Icum
2020-04-12,4506,466,674,972,350,101,71,16,42,446,186,1054,79,401,350,353,290,105,134,179,138,Icum
2020-04-13,4706,479,694,1003,355,104,77,16,42,455,189,1102,82,422,368,365,301,111,140,184,155,Icum
2020-04-14,4885,518,710,1026,366,110,82,16,43,467,195,1165,84,475,380,377,312,116,154,189,159,Icum
2020-04-15,5100,550,752,1057,394,122,84,18,43,486,201,1235,87,505,410,405,329,121,169,203,162,Icum
2020-04-16,5321,587,799,1076,417,132,88,19,43,503,216,1319,94,535,441,430,350,124,181,206,175,Icum
2020-04-17,5543,631,863,1105,453,144,93,19,43,524,225,1396,97,567,468,456,374,129,200,225,190,Icum
2020-04-18,5723,649,871,1157,488,165,95,19,43,541,232,1444,100,619,486,483,403,131,209,228,191,Icum
2020-04-19,5915,666,884,1173,503,176,99,19,43,546,238,1475,104,625,515,491,411,139,215,235,193,Icum
2020-04-20,6126,698,897,1197,511,185,105,20,44,555,248,1525,111,648,543,501,415,141,216,239,201,Icum
2020-04-21,6289,730,950,1232,560,199,116,20,48,562,265,1648,118,712,581,536,437,153,229,244,204,Icum
2020-04-22,6578,762,1000,1261,591,212,127,23,54,582,284,1727,123,739,600,569,459,157,246,253,209,Icum
2020-04-23,6869,803,1026,1290,637,237,138,25,56,604,302,1799,126,777,626,610,472,174,254,265,224,Icum
